response;sexe;age;profession
"Le meilleur moyen de lutter contre le trafic illégale serait de légaliser le cannabis médicinale et récréatif. Cela permettrait de créer tout un tas d'emplois dans différentes branches de l'agriculture, logistique, commerces.  NE PAS VENDRE à un tarif ABUSIF pour éviter que le consommateur se fournit au marché noir. Certes les narcotrafiquants passerait à des drogues plus ""dures"" mais faudrait dans ce cas les punir sévèrement. Je ne connais aucun consommateur de cannabis ayant voulut toucher à des choses plus fortes.";Un homme;30 à 39 ans;Employés
"La politique actuelle de répression aveugle mobilise des milliers de policiers pour rien et laisse le empêche de faire du vrai travail de police.
Il suffit de voir les annonces pathétiques des différentes Préfectures les derniers mois suite aux annonces démagos de Darmanin le violeur pour voir que ça ne sert à rien de mobiliser plusieurs divisions de policiers pour contrôler un train entier et ramener 2 pauvres grammes d'herbe...

Il s'agit là d'une utilisation idéologique et inefficace de nos impôts.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
Le dispositif n'est pas adéquat. Tout le monde peut se procurer du cannabis. Puisque le marché est à pris une trop grande amplitude et que le régressif n'atteint pas ses objectifs, je pense qu'il est indispensable aujourd'hui de légaliser pour contrôler le marché et réinvestir massivement dans le traitement et la prévention. L'unité pour jeunes adultes de l'hôpital est occupé à 80%  de jeunes dont une partie des troubles psychiatriques ont été déclenchés ou amplifiés par la prise régulière de cannabis.;Une femme;40 à 49 ans;Cadres et professions intellectuelles supérieures
La diversité des modes de vente du Cannabis (sur place, livraison à domicile, envoi par la poste...), les réseaux sous-terrains et l'impossibilité matérielle et physique pour les forces de l'ordre d'intervenir sur tous les canaux de vente font que la lutte contre ce type de trafics est très limitée voire extrêmement inefficace. Le rapport entre l'investissement en ressources (temps, argent public...) et l'impact sur la limitation des trafics et de la consommation du Cannabis est donc à mon avis extrêmement bas.;Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
Non. Il permet de lutter en surface peut être ou de faire croire qu'il lutte. Mais le cheval de bataille n'est à mon avis pas le bon. Interdire la consommation de cannabis et sa commercialisation c'est justement favoriser son trafic sous-terrain. Les pouvoirs publics ont tout intérêt (politique, social et politique) à se saisir de ce marché pour en assurer la qualité, plutôt que de combattre un trafic et des crimes qu'ils favorisent et ne parviennent pas ou peu à limiter.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
"Comme dit ci-dessus, ce n'est pas en pénalisant de 200 un consommateur pour une boulette à 2 par exemple, que nous règlerons le problème du marché noir, des trafics en tous genres et surtout des problèmes sanitaires qui en découlent, mais également des fuites d'argent qui sont pour moi, des priorités aujourd'hui.
Il y a aussi une dimension sécuritaire, cette dimension qui est si chère au gouvernement en place, lorsque nous parlons des points de ventes comme je l'ai exprimé ci-dessus.";Un homme;18 à 29 ans;Employés
Le trafic de stupéfiant étant rentable, la répression, quelle qu'elle soit, ne parviendrait à l'empêcher qu'au prix d'efforts colossaux et coûteux des services publics, qui ne sont pas envisageables et envisagés. De plus cet affrontement frontal créerai une polarisation forte des trafiquant résolus et de fait une augmentation de la violence pour protéger une source de revenus très profitable.  En somme, la répression frontale n'a qu'un effet de surface, qui, loin d'empêcher tout trafic, le rend encore plus incontrôlable et violent.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
Franchement là encore, il nest pas difficile de constater que depuis des décennies le traffic sest développé et sest bien organisé à léchelle du territoire français. Ouvrez les yeux, les gangs de trafiquants quadrillent tout le territoire, national. Que ce soit en zone urbaine ou rurale les trafiquants sont partout, à chaque pâté de maison, aux portes des écoles et jusque dans les halls des hôpitaux!  Force est de constater que notre législation répressive ne semble pas efficace contre le traffic!;Un homme;50 à 64 ans;Cadres et professions intellectuelles supérieures
"Tout ce qui est interdit génère un trafic : voyez la prohibition aux état-unis... Ca n'a jamais fonctionné.
Interdisez le café demain et ça fera la même chose...

L'état dépense beaucoup pour lutter contre les trafics alors qu'il pourrait en tirer un bénéfice et orienter les fonctionnaires de police sur d'autres sujets
Je vois certains pays autour de nous (Canada, USA, Pays-bas) qui organise leur industrie : Nous sommes en train de prendre un retard considérable pour les années a venir.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
"Selon moi létat français sengage dans une lutte qui ne semble apporter aucun bénéfice. Maitriser et contrôler ce marché serait certainement le moyen daffaiblir la vente illégale dans le cadre de marchés parallèles. 
En tant que consommateur, il est évident que je préfèrerais acquérir le cannabis dans un cadre réglementé et mieux connaitre lorigine du produit avec le conseil de professionnels plutôt que de recourir à lacquisition par lintermédiaire dinterlocuteurs inconnus qui me fournissent un produit dont je nai aucune information.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Aujourd'hui les trafiquants ont le monopole et peuvent tout faire car les policiers de proximité qui existaient avant n'existent plus ou sont remplacer par des brigades de répression.. (Pour être plus clair, ils sont vus un peu comme des nazis par les personnes défavorisées qui sont dans des quartiers pauvres isolés) 
Ce changement ne se fera pas en 2 ou 3 ans.. C'est quelque chose qui doit se faire pour le long terme avec proximité de la population et débats collectifs";Un homme;18 à 29 ans;Employés
tant que l on considerera le cannabis comme une drogue on parlera de trafic ...tant qu on parle de trafic on pense a la criminalité je ne pense pas qu un ouvrier lambda qui fume un joint ou deux le soir pour se detendre d une dure journée represente un danger pour lui ou qui que ce soit d autre le probleme c est que le matin il est tjrs positif alor qu il est en pleine possession de ses moyens;Un homme;40 à 49 ans;Ouvriers
"Le dispositif actuel fait qu'il y a des trafics : Prohibition = trafics.
Une légalisation du commerce permettrait un control sur la qualité, les quantités des produits vendus (réduction des risques)
Le dispositif actuel ne décourage pas vraiment les vendeurs car la balance risque / gain penche en faveur du trafic.
L'interdiction fait que le marché est intéressant à adresser. Une légalisation permettrait de faire baisser cette économie souterraine, génératrice de risques et d'inconforts pour les résidents des places de deal.";Un homme;30 à 39 ans;Artisans, commerçants et chefs d'entreprises
"La prohibition de l'alcool dans les années 20 aux États Unis est la démonstration de l'échec des mesures répressives qui ont ouvert la voie au grand banditisme. Les mêmes mesures appliquées au trafic de stupéfiants ont engendré les mêmes résultats quelque soient les états.
La France n'échappe pas au constat. Le cout financier de la répression pour la société est chaque année en augmentation sans faire pour autant diminuer la consommation. Plus la répression est forte plus grands sont les profits.";Un homme;65 à 74 ans;Retraités
Il est impossible de lutter efficacement contre quelque trafic que ce soit en étant d'une telle hypocrisie (vente légale de feuilles longues, pipe à eau, grinder et j'en passe) , si le cannabis vient à être légalisé et géré pas l'état le traficant ira vers un autre produit tel que la cocaïne (produit beaucoup plus dangereux et dont le trafic et la consommation ont explosé ces dernieres années) sans parler du bas âge des consommateurs, 18/24 ans X4 en deux ans.;Un homme;30 à 39 ans;Employés
"Des interdits et les amendes ne freinent pas les revendeurs et consommateurs.
Certains se font prendre mais d'autres reprennent le business.
Une grosse partie des consommateurs pourrons se fournir légalement et sans risque pour leur santé aupres dun réseau mieux structuré.
Une garantie aussi d'avoir un produit conforme et non mal préparé ou nocif pouf leur santé .
De plus il y aura moins de dealer et traffic, cela donnera plus de souplesse aux brigades des stups de faire leur investigation.";Un homme;40 à 49 ans;Artisans, commerçants et chefs d'entreprises
"30 ans de répression, l'usage toujours plus pénalisé, le pays le plus dur en Europe pour ça, des moyens publics, des contrôles permanents, des policiers payés pour ça, au détriment de l'accompagnement et de l'aide des malades, des années de ""lutte"" pour quel résultat : devenir le pays avec le plus de consommateurs en Europe.  Qu'on soit pour ou contre l'usage, recreatif ou médical, il ne faut vraiment pas être très intelligent pour voir que la repression n'est vouée qu'à l'échec.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
Ce nest pas adapté car pour une drogue en libre accès dans certains pays des groupes agressifs et dangereux terrorisent les habitants pour pouvoir écouler leurs stocks. Ayant beaucoup discuté avec vendeurs et acheteurs je suis forcée de constater quil y aura toujours de la demande et la répression nest clairement pas la solution. Sinon pour être logique il faut également interdire la vente dalcool et de tabac qui sont, aussi, des drogues aux effets plus néfastes sur le long terme.;Une femme;40 à 49 ans;Artisans, commerçants et chefs d'entreprises
"Sa sert a rien la repression donne de la valeur au produits est tue lusager a petit feu avec du cannabis coupe avec des produits dangereux est des tarifs de plus en plus haut. 
Resultat usage victime ,dealeur gagnant sur toute la lignes,etat perdant d avance 2 policier pour 300 dealeur de la rigolade pour les reseau installe dans toutes les classes de la societe l etat a du mal a recrute des bon policier les dealeur non pas ce probleme";Un homme;40 à 49 ans;Employés
"Les chiffres aujourd'hui sont que 95% des attestations pour stupéfiants c'est un fumeurs de cannabis. Les policiers perdent donc leur temps à courir après une quantité infime de stupéfiants tel que le cannabis alors qu'il pourrait consacré un peu plus leurs temps sur les trafiquants de drogues durs. 
La politique actuelle ne permet pas d'endiguer le trafic, il ne fait que d'oppresser le petit consommateurs et ne réussit en rien à attraper de réels délinquants auteur du trafic illégal de stupéfiants.";Une femme;18 à 29 ans;Autres personnes sans activité professionnelle
Lévolution de la technologie vous a dépassé depuis longtemps, le monde change à un vitesse folle. Si on veut avoir un regard positif sur le problème, il faut le poser sur la matière première, le chanvre.Lexploitation, la production et la commercialisation des dérivés de cette plante permettrai de produire beaucoup demplois  et le contrôle du marché qui en découle . Noubliez pas que largent ne tombe pas du ciel, mais quil ne va pas non plus dans les poches de létat.;Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Les quartiers sensibles ne sont plus réellement contrôlés, certains jeunes sont aujourdhui complètement perdus et non accompagné.
Ils ne sont plus accompagnés ne connaissent plus les valeurs de notre république. 
Plutôt que de punir. Le service militaire devrait être remis en place pour les jeunes qui sont déscolarisés et ceux qui ne travaillent plus ou pas depuis ou pendant X temps. Avec des méthodes positives . Peut-être que cela éviterait les échecs et la délinquance, cela permettrait également la mixité sociale.";Une femme;18 à 29 ans;Artisans, commerçants et chefs d'entreprises
Voyons voir , En Belgique en 2020, les saisies de cigarettes ont connu une hausse de 108 % , 44,3 tonnes de tabac à chicha importées illégalement ont été saisies en France en 2019 et au moins 10 fois plus de tabac de contrebande . Je n'ai pas les chiffres pour le cannabis,  mais on ne doit pas démériter non plus malheureusement ... On ne peut pas dire que les douanes ne font rien , cependant ce n'est clairement pas suffisant.;Je ne souhaite pas répondre;30 à 39 ans;Autres personnes sans activité professionnelle
"l'illicite est très attirant pour les personnalités fragiles et/ou immatures
la prison n'est pas dissuasive ( on y fume d'ailleurs très facilement) et elle favorise une dé-insertion sociale catastrophique
la répression par l'argent (comme toutes les amendes) est totalement inégalitaire
on mélange tout, les petits consommateurs ludiques et les utilisateurs qui se servent du cannabis comme calmant psychique ou physique souvent fort mal accompagnés dans leurs difficultés
la répression actuelle est hypocrite et vécue comme anti jeunes, anti liberté, contrôle social...";Une femme;65 à 74 ans;Professions intermédiaires
Le dispositif actuel crée les conditions de violence et denrichissement de réseaux mafieux. Les quantités saisis et les réseaux démantelés sont une goutte deau dans locéan. Il na jamais été aussi facile en France de se procurer du cannabis quaujourdhui. Les revenus issus de ce secteur sont aussi un manque à gagner pour la société, accentué par les dépenses liées à la répression qui ne semble pas être en faveur de la France dun point de vue social, sanitaire et économique.;Un homme;30 à 39 ans;Employés
"La répression ne limite pas la consommation et le trafic. Rien que dans mon quartier il y a plusieurs points de vente et de linsécurité dans ces même points, jai peur dy passer du coup je garde mes distances mais cest dingue davoir cette psychologie en France.
Personnellement je préférerais que lEtat légalise, quil puisse le vendre lui même, cela stoppera la vente de rue, les produits seront de meilleurs qualités et cela pourrait renflouer des caisses avec une taxe dessus.";Un homme;30 à 39 ans;Employés
Il y a des consommateurs cest un fait. Donc au lieu de traquer les réseaux de trafiquants pourquoi ne pas proposer à la vente du cannabis dans des magasins qui ont pignon sur rue et où les gens savent ce quils consomme. Cela serait une belle perspective de revenu pour lEtat.  Largent publique et donc notre argent qui est consacré aux forces de polices pour lutter contre le trafic de cannabis ne devrait pas être investi ici car il est gâché.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
Dans la mesure ou il est impossible d'empêcher la demande, ce qui rend l'offre inévitable, la seule option logique est de s'attaquer à la viabilité du trafic en créant une concurrence légale  simple d'accès mais règlementée. Les efforts de répression devront alors se concentrer sur le trafic à destination des mineurs, qui formeront le marché de repli de l'offre clandestine et qui devront eux bénéficier d'une prévention également renforcée, le tout pouvant peut-être être financé grâce aux taxes sur la vente.;Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
Pour une grande majorité des personnes qui consomme le fait de pouvoir se fournir légalement même à un tarif plus élevé que le marché noir serais un bonne solution pourquoi aller voir un dealers et prendre de gros risque quand on peut s'auto fournir ou l'acheter en faisant ses courses en supermarché pour nombre de personne ayant des enfants ou un emploi supérieur toute ses personne ne ferait plus tourner le marcher noir. On diminue la demande,les dealers au chaumage .;Un homme;30 à 39 ans;Artisans, commerçants et chefs d'entreprises
"Il y aura toujours des trafics... 
Légaliser et réguler le cannabis, permettait d'alléger les forces de l'ordre, juridiquement parlant.
Au passage de casser celui-ci, 
Pourquoi chercher à lutter contre cette plante, 
essayons plutôt de réguler la vente, en contrôlant provenance et qualité.
Dans votre avantage, ainsi qu'aux consommateurs qui se tournera alors sur un point de vente agrée. 
À moins que les bénéfices, liée a cette répression soient trop lucratif jusque là.. 
Nos voisins Américains et certains pays Européens l'ont compris";Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Je ne pense pas , le goût du risques, encore une fois ce caractère ""interdit"" ont un effet contraire sur la lutte contre les trafics.
Egalement, des personnes peuvent être amenées à effectuer ces trafics, ne trouvant pas d'autres solutions pour s'en sortir (par exemple financièrement). Sans oublier qu'aujourd'hui les jeunes sont attirés par les images qu'ils peuvent voir sur Internet, ou autour d'eux : le luxe, le fait de pouvoir s'offrir des choses onéreuses, pour ""être comme tout le monde"".";Une femme;18 à 29 ans;Autres personnes sans activité professionnelle
"Je ne pense pas qu'il faille faire la chasse contre les consommateurs pour détruire les réseaux mafieux de cannabis. Une légalisation de la consommation, sous les mêmes conditions de consommation que l'alcool, avec une production étatique du cannabis permettrait de faire s'effondrer de tels réseaux. A condition évidemment que le prix de vente de ce cannabis légal reste au voisinage du prix de l'illégal. 
L'autre avantage serait que cette légalisation permettrait à l'État d'engranger des recettes pour le budget de l'État.";Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Le meilleur moyen de lutter contre les trafics est de leur voler leur marché en legalisant le canabis et en instaurant des chaînes de production contrôlées.

Juste pour les questions ci dessous, demander d'évaluer des risques sans proposer d'échelle de quantités est stupide. Ces questions laissent trop de place à l'interprétation, je pourrais très bien considérer la consommation d'un pet par mois contre la consommation d'un paquet de tabac par jour. Ajouter de la place pour des commentaires pourrait être utile.";Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
En legalisant le cannabis en France vous pouvez assurer la sécurité des consommateurs des violences des dealers qui se répète et empire chaque année ces délinquant n ont aucun respect des loi de la police mais ne respect même pas sa propre clientèle (vols,violences physiques, persécution morale) la législation permettant de controle la conception de ces produits (produits de coupes très nocifs dans le cannabis du marcher noir) et cela peut dc apporter un bénéfice à la état avec es taxes;Un homme;18 à 29 ans;Ouvriers
"Le traffic est sans doute moins visible, mais il n'est pas moins important, il ne se fait juste plus dans les mêmes lieux. Pire, ce sont avant tout les petits consommateurs et la première chaîne de distribution qui est atteint dans cette politique ""tolérance zéro"" et presque jamais les personnes qui sont derrière ces marchés. Ce qui est, au mieux, inefficace, au pire, dangereux car cela pousse les trafiquants à aller recruter des personnes encore plus jeunes (moins suspectées par exemple).";Un homme;;Cadres et professions intellectuelles supérieures
"Le marché noir n'en a que faire des décisions prises. Si l'on veut réguler et essayer de récupérer les territoires de non droit, il faut que l'état ait le monopole de la vente. Ce qui permettrait de diminuer le marché noir et éviter aux consommateurs de consommer de la piètre qualité et donc moins de soucis sanitaires.
Cela permettra entre autre d'alléger la crise économique et sociale actuelle, cela créerait beaucoup d'emplois et de rentrée d'argent dans les caisses de l'état.";Une femme;18 à 29 ans;Employés
En France, la demande est très forte pour ces produits. L'État a donc basé sa politique de répression sur les consommateurs, donc sur la demande. Seulement, ce biais peut éventuellement permettre de refroidir certains consommateurs, mais ne permet en aucun cas de limiter le trafic. S'attaquer à la demande quand 6 % des français (soit environ 4 millions de personnes) consomment du cannabis tous les mois n'est pas raisonnable et contribue à la marginalisation et à la stigmatisation de ces personnes.;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Faut-il Lutter contre le trafic ? l'argent des quartier riches, va directement dans la poche des quartiers pauvre, sans violence, sans le trafic, il ne restera pas grand chose aux quartier pauvres pour se faire quelques euro.. ils ont tous un couteau dans la cuisine et peuvent racketter dans les quartiers riches..
Actuellement, le système enlève ceux qui ne vendent pas assez chez.. mais il laisse le produit dans les mains des mineurs, qui apprennent que c'est normal d'être dan l'illégalité.";Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures
En aucun cas car actuellement le consommateur est réprimandé. Aux mêmes titres que le dealer mais à moindre coût. Cependant je voit une différence entre un dealer qui va essayer de tirer un bénéfice moindre pour pouvoir espérer percevoir un petit revenus afin de subvenir à ses besoins . Et tu n haut de léchelle celui qui sen met plein les poches . Le fait est que la consommation sera toujours présente et que le deal prendra fin lorsquil sera encadré.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
Le cannabis doit être légalisé le système actuel  répressif ne sert à rien car le trafic est trop important , légaliser cest aussi informer et sensibiliser , rendre légal le cannabis est devenu indispensable en terme de santé publique , économique et social , si létat en contrôle la vente cela serait un grand pas en avant dans notre société et déchargerait la police et les tribunaux de beaucoup de travail et pourrons alors ce concentrer sur les vrais problèmes. Merci;Un homme;18 à 29 ans;Employés
Le niveau de répression élevé et les moyens alloués dans le cadre des plans stupéfiants permettent de maintenir la lutte qui fait cependant face, à l'évidence, à des trafics demeurant prospères, mais qui ne seraient aucunement fragilisés par une autre approche. La réponse aux trafics doit se trouver dans un engagement complet des institutions concernées pour en limiter les effets, les implantations et l'impact, ce qui relève de l'ajustement des moyens publics et politiques pénales mais pas du dispositif de fond.;Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
De toute façon, qui ça dérange ? Un fumeur de joint n'est pas un tox en train de se pîquer dans les toilettes du McDo. On est loin des drogues dures qui peuvent détruire le cerveau. Tout comme le café du matin met un petit boost pour la journée , le joint du soir permet de se détendre et s'endormir facilement. On est d'accord sur le fait que le mieux c'est de ne rien consommer (café, alcool, tabac ou autres drogues);Une femme;18 à 29 ans;Employés
Les points de deals ne sont que très rarement inquiétés, malgré beaucoup de temps passé par la police pour lutter contre la consommation. La police doit se concentrer sur les fournisseurs des réseaux, passer plus de temps à enquêter, les statistiques du nombre d affaires résolues ne doivent pas dicter l action de la police. Je préfère que la police enquête pendant un mois sur un réseau plutôt que d arrêter 50 consommateurs qui ressortent avec un rappel a la loi.;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Si la législation actuelle est appropriée, sa mise en uvre nécessite une action plus dynamique à 2 niveaux : 
- la lutte contre les trafics tant au niveau local (certains quartiers sont devenus des zones de non-droit , une dépénalisation viendrait offrir une concession des trafiquants sur des territoires de la République) que dans la limitation des arrivées sur le sol français (notamment le démantèlement des réseaux internationaux et des circuits d'approvisionnement).
- la prévention (ce pan a été quasiment abandonné)";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Les forces de lordres sont mobilisés en grande partie contre le trafic de stupéfiants (et plus particulièrement le trafic de cannabis) pourtant LES POINTS DE DEAL NE CESSENT DAUGMENTER. De plus, une bonne partie des forces de lordre elles-mêmes sont convaincus que la répression nameliore pas la situation (selon les cas la répression empire la situation).
Une dépénalisation ou légalisation permettrait aux forces de lordres de travailler contre des crimes plus importants (trafic dorganes/dhumains, pedophilie, détournement de fonds.... et jen passe)";Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Les trafics, et pas seulement de cannabis ont existés depuis bien longtemps, et trouvent toujours des moyens de continuer à exister. Le dispositif actuel permet de lutter contre les trafics ? Oui. Efficacement ? A vous de nous dire ...
Si on se base sur le fait qu'il y a tjs une grande quantité de trafics concernant le cannabis, on pourrait être tenté de dire non. 
J'ai habité à différents endroits, dans différentes régions, ça ne m'a jamais empêché d'en acheter.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"J'habite à la campagne et même dans des lieux reculer le petit trafic est présent, avec la venue de personnes avec des véhicules de grosses cylindrées. Ils sont organiser pour passer au travers des contrôles (vente par des jeunes des villages, petites quantités...) et quand ils se font attraper la justice ne peut les condamner qu'à des peines mineurs au vu de l'état de notre système pénitentiaire. Et le cas échéant, un autre ""homme de terrain"" prend la place laissée vide";Un homme;40 à 49 ans;Agriculteurs exploitants
"Non, car cela favorise les gros trafiquants (qui d'ailleurs ne deal pas que du ""naturel"" bien au contraire)  et sanctionne plus souvent les petit consommateurs dont les consommateurs ""responsable"".  Savoir faire la part des choses sera peut être la clé.  
L'alcool est plus dangereux car il est en vente libre et l'Etat ne contrôle rien , à part peu être ses comptes. 
JE SUIS POUR LA LEGALISATION SOUS CERTAINES CONDITIONS!! NE SURTOUT PAS FAIRE COMME AVEC L' ALCOOL ET LE TABAC!!!";Un homme;30 à 39 ans;Employés
Sur le terrain les revendeurs sadapte t, et maintenant livrent à domicile, il y a aussi le Dark Web, donc dans toutes les situations, le produit arrivera à sa destination. Autant le faire soi même en pleine conscience du mal que lon ne fait pas à la société en encourageant les trafics... qui amènent les armes et la violence dans la société. Il faut aussi professionnaliser cette filière et créer de nouveaux emplois ouverts en priorité aux jeunes issus des quartiers.;Un homme;40 à 49 ans;Artisans, commerçants et chefs d'entreprises
"Non. L'économie souterraine repose sur les mêmes fondements que l'économie de marché classique. Il existe une demande pour le cannabis récréatif en France, en l'absence de légalisation, l'offre provient exclusivement des réseaux clandestins, qui ne cesseront pas d'exister tant que subsistera cette demande. Evidemment, la même conclusion pourrait être appliquée aux drogues dites ""dures"" dont la légalisation ne parait pas souhaitable, à ce stade. Cependant, une légalisation permettrait d'assécher en partie ces réseaux et donc, par extension, d'en faciliter la répression.";Une femme;30 à 39 ans;Cadres et professions intellectuelles supérieures
La consommation de cannabis en France et anecdotique, nous faisons partie des plus gros consommateurs dEurope. Une potentielle légalisation permettrait davoir un contrôle la consommation, et réduirait drastiquement  le trafic qui est le seul moyen pour les français de sen procurer. Sans compter les enjeux économiques qui sont énormes et qui seraient largement favorable à létat, notamment en ces temps de crise. Le trafic de stupéfiants ne cessera jamais tant quune reforme sur la légalisation ne se mettra pas en place;Une femme;18 à 29 ans;Employés
"Les GAFA participent à la diffusion commerciale des dealers qui utilisent de plus en plus des comptes temporaires twitter ou facebook pour proposer tels ou tels produits. Ces sociétés se permettent de supprimer tel ou tel comptes d'hommes politiques mais ferment les yeux devant ces vendeurs de mort ! Ils sont donc complices ..
Permettent aux forces de l'ordre d'obtenir rapidement les identifiants des dealers utilisant ces plateformes.

Renforcer les contrôles douaniers aux frontières qui passent par un renforcement des effectifs.";Un homme;40 à 49 ans;Professions intermédiaires
Le cannabis consommé, abondamment, en France métropolitaine provient majoritairement de létranger bien quil existe une agriculture locale. Dans ces deux cas, la production massive du cannabis profite très souvent au crime organisé ou parfois même au terrorisme. Largent dépensé par un consommateur de cannabis arrive donc très souvent dans la poche de criminel. Légaliser le cannabis empêcherait ce phénomène tout en protégeant le consommateur qui ne connaît pas la provenance de son produit ni de sa qualité (souvent médiocre et nocif).;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
La pénalisation semble créer un marché alternatif illégal autour des multiples substances dérivées du canabidiol, qu'il s'agisse d'un produit fumable, sous forme de cachet ou encore culinaire. Ce marché est la conséquence d'une répression accrue, car, plus il est difficile de se procurer un produit (illicite), plus sa valeur et sa qualité peut être remise en question. Ce qui, en soit, revient à mettre en danger le consommateur alors qu'il serait possible de prévenir ce dernier face aux problèmes de qualité.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
Je ne pense pas que le dispositif actuel permet de lutter efficacement contre tous les trafic de drogue en France car il faudrait surveiller limportation de toutes les marchandises sur le territoire national et cela engendrerait enormement des coûts et de retard. Une fois que plus je pense quaucun dispositif ne pourra lutter efficacement contre les trafic de drogue. Nous sommes sur un pays très populaire qui dessert un continent en mouvement constant. Nous devons donc nous habituer à vivre avec.;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures
"Encore une question qui vole haut. Cela promet.
S'il y a lutte contre les trafic mais que le trafic est florissant, c'est encore qu'il n'y a aucun lien entre les deux. Et encore faudrait-il croire qu'il y a véritablement lutte contre les trafics. un trafiquant est manifestement aussi considéré comme un chômeur de moins mais aussi une source de palliatif économique dans certains quartiers contre l'investissement de l'État. Dans d'autres quartiers, il ne faudrait pas embêter les enfants des bonnes familles.";Un homme;50 à 64 ans;Employés
Il faut beaucoup plus de contrôle dans les quartiers en écarts des zones rurales. Il faut beaucoup plus de contrôle même chez les mères de famille ou la catégorie féminine pour bien les citer car il y a une forte augmentation de consommation de type de drogue chez des femmes en moins e dix ans.  Il faut beaucoup plus de contrôle chez la catégorie de personnes qui travaillent dans des milieux de haute société : magistrat, politique, chef d'entreprise, éducation nationale...;Une femme;30 à 39 ans;Employés
Dans la mesure où la demande est en constante augmentation, loffre doit lettre également, son code de la même façon et système actuel rends juste sa tactique légal mais ce nest pas pour autant que cela lempêche. Cela ne devrait dailleurs pas être objectif premier. Il faudrait au contraire chercher à encadrer et accompagner le système de vente dans les cités ou là où les conditions sont précaires et la vente de drogue une des seules options pour toucher de largent.;Une femme;18 à 29 ans;Cadres et professions intellectuelles supérieures
vu que les frontières sont une vraie passoire , le trafic de drogues, d'êtres humains et d'armes jusqu'à des armes de guerre est une aubaine pour tous les trafficants et c'est autant de TEMPS DE TRAVAIL  DE TOUS LES CORPS DE MÉTIERS DE LA JUSTICE ET DU MAINTIEN DE L'ORDRE DE PERDU  qui pourrait être beaucoup mieux utilisé.  remplir les prisons ne sert à rien , de lourdes amendes des travaux d'intérêts général ainsi que de la réinsertion  serait plus efficace;Un homme;40 à 49 ans;Employés
"Le trafic est dû à la demande. Si il y a demande, alors il y a offre. Quoi quil arrive, malgré le caractère illégal de la vente de cannabis, les vendeurs seront toujours remplacés lorsque lun dentre eux tombe. Pourquoi ? Parce que la situation financière dun dealer, quimporte le rôle, est toujours plus intéressante financièrement que nimporte quel emploi légal (et souvent bien moins pénible). 
Que faire contre un eldorado quand on ne leur propose légalement quune vie de pauvreté.";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
"Les trafiquants sont armes a l arme lourde (Marseille notamment) car le traffic se mue vers d autre substances plus lucratives et plus facile a cacher (cocaine en tete) dixit un commissaire de la PJ des bouches du rhone
les trafiquants utilisent aussi des jeunes pour assures le traffic car ceux ci sont bien rémunérés et ne risquent pas grand chose.
Les consommateurs se cachent encore plus depuis l instauration de l amende (analogue a la penealisaton des clients des prostitues)";Un homme;30 à 39 ans;Cadres et professions intellectuelles supérieures
C'est de la pure logique à ce niveau là. Je vis en campagne et il y a des dealers partout, que ce soit dans les petites ville ou en bas des blocks ou encore dans les jardin. Le cannabis est omniprésent donc je pense que le dispositif actuel n'est clairement pas adapté voir complètement inefficace, si les gens en fume encore actuellement et que le débat de la légalisation reviens sur le tapis c'est que ça ne fonctionne tout simplement pas.;Un homme;18 à 29 ans;Autres personnes sans activité professionnelle
"La pression sur les trafics a bien entendu une forme d'efficacité sans parvenir à les éradiquer.
Ces trafics, à un certain niveau qui s'approcherait du demi-gros et du détail, sont malheureusement une des composantes économiques faisant circuler de l'argent des milieux favorisés vers ceux qui le sont moins.
Pour cet aspect, c'est quasiment peine perdue.
En revanche, pour ce qui est de la partie supérieure du trafic, càd le grand banditisme et les volumes importants, le dispositif a une réelle efficacité.";Un homme;50 à 64 ans;Cadres et professions intellectuelles supérieures
